time;lat;lon;alt;roll;pitch;head;ub;nsat
0:00:00.05;0.0;0.0;0.0;0.0;0.0;0.0;0;0
0:00:00.10;0.0;0.0;0.0;-119.367;-49.396;2.753;0;0
0:00:00.15;0.0;0.0;294.228;-118.72;-49.721;2.776;0;0
0:00:00.20;0.0;0.0;294.236;-118.192;-49.974;2.812;0;0
0:00:00.25;0.0;0.0;294.245;-117.983;-50.32;2.763;0;0
0:00:00.30;0.0;0.0;294.248;-118.725;-50.215;2.83;0;0
0:00:00.35;0.0;0.0;294.243;-118.549;-50.11;2.859;0;0
0:00:00.40;0.0;0.0;294.24;-118.178;-50.137;2.842;0;0
0:00:00.45;0.0;0.0;294.235;-117.837;-50.393;2.831;0;0
0:00:00.50;0.0;0.0;294.229;-118.345;-49.398;2.866;0;0
0:00:00.55;0.0;0.0;294.228;-118.268;-49.609;2.877;0;0
0:00:00.60;0.0;0.0;294.228;-118.693;-49.764;2.915;0;0
0:00:00.65;0.0;0.0;294.24;-118.806;-49.905;2.875;0;0
0:00:00.69;0.0;0.0;294.24;-118.806;-49.905;2.875;0;0
0:00:00.75;0.0;0.0;294.243;-118.713;-50.879;2.907;0;0
0:00:00.80;0.0;0.0;294.247;-118.779;-51.005;2.907;0;0
0:00:00.85;0.0;0.0;294.248;-118.734;-50.702;2.882;0;0
0:00:00.90;0.0;0.0;294.243;-119.642;-49.252;2.819;0;0
0:00:00.95;0.0;0.0;294.237;-120.09;-49.283;2.819;0;0
0:00:01.00;0.0;0.0;294.238;-119.517;-49.755;2.783;0;0
0:00:01.05;0.0;0.0;294.243;-119.626;-49.771;2.713;0;0
0:00:01.10;0.0;0.0;294.249;-119.777;-49.803;2.753;0;0
0:00:01.15;0.0;0.0;294.253;-119.889;-49.917;2.711;0;0
0:00:01.20;0.0;0.0;294.262;-119.622;-50.857;2.716;0;0
0:00:01.25;0.0;0.0;294.266;-119.867;-50.958;2.634;0;0
0:00:01.30;0.0;0.0;294.266;-119.476;-50.882;2.728;0;0
0:00:01.35;0.0;0.0;294.264;-119.787;-50.784;2.697;0;0
0:00:01.40;0.0;0.0;294.267;-119.619;-50.546;2.749;0;0
0:00:01.45;0.0;0.0;294.267;-119.576;-50.702;2.723;0;0
0:00:01.50;0.0;0.0;294.265;-120.196;-50.22;2.735;0;0
0:00:01.55;0.0;0.0;294.254;-120.107;-50.022;2.735;0;0
0:00:01.59;0.0;0.0;294.254;-120.107;-50.022;2.735;0;0
0:00:01.65;0.0;0.0;294.255;-119.449;-49.775;2.699;0;0
0:00:01.70;0.0;0.0;294.27;-119.295;-50.478;2.636;0;0
0:00:01.75;0.0;0.0;294.273;-119.386;-50.425;2.643;0;0
0:00:01.80;0.0;0.0;294.266;-119.703;-50.932;2.581;0;0
0:00:01.84;0.0;0.0;294.266;-119.703;-50.932;2.581;0;0
0:00:01.89;0.0;0.0;294.257;-119.638;-50.902;2.526;0;0
0:00:01.95;0.0;0.0;294.242;-119.819;-50.823;2.491;0;0
0:00:01.99;0.0;0.0;294.242;-119.819;-50.823;2.491;0;0
0:00:02.05;0.0;0.0;294.248;-119.907;-51.365;2.534;0;0
0:00:02.10;0.0;0.0;294.252;-119.919;-50.532;2.569;0;0
0:00:02.15;0.0;0.0;294.233;-119.901;-50.481;2.583;0;0
