time;lat;lon;alt;roll;pitch;head;ub;nsat
0:00:00.15;44.933362;37.338909;500.0;2.7;1.2;-51.2;0;1
0:00:00.40;44.933371;37.338915;500.0;1.9;1.6;-51.3;0;2
0:00:00.63;44.933372;37.338916;500.0;1.6;1.3;-51.3;0;2
0:00:00.89;44.93335;37.338952;500.0;1.4;0.9;-51.3;0;2
0:00:01.11;44.933293;37.338815;500.0;1.0;0.6;-51.4;0;1
0:00:01.35;44.93326;37.338737;500.0;0.6;0.9;-51.3;0;2
0:00:01.60;44.933253;37.338728;500.0;1.1;1.6;-51.3;0;1
0:00:01.83;44.933249;37.338724;500.0;1.5;1.3;-51.4;0;2
0:00:02.09;44.933251;37.338708;500.0;1.1;1.4;-51.4;0;1
0:00:02.33;44.93325;37.338703;500.0;0.7;1.7;-51.5;0;2
0:00:02.62;44.933248;37.338698;500.0;0.6;2.0;-51.4;0;2
0:00:02.78;44.933213;37.338699;500.0;0.5;1.8;-51.4;0;1
0:00:03.02;44.933204;37.338692;500.0;0.6;1.7;-51.4;0;1
0:00:03.26;44.933196;37.338688;500.0;1.1;1.6;-51.3;0;2
0:00:03.49;44.933204;37.338682;500.0;1.3;1.4;-51.3;0;1
0:00:03.73;44.933202;37.33868;500.0;1.1;1.7;-51.2;0;1
0:00:03.98;44.9332;37.338678;500.0;0.4;2.1;-51.3;0;2
0:00:04.24;44.933198;37.338677;500.0;0.4;2.3;-51.3;0;2
